GSE	GSM	SRX	SRR	Dataset
GSE114559	GSM3144833	SRX4091810	SRR7174168	1
GSE114559	GSM3144834	SRX4091811	SRR7174169	1
GSE114559	GSM3144835	SRX4091812	SRR7174170	1
GSE114559	GSM3144836	SRX4091813	SRR7174171	1
GSE114559	GSM3144837	SRX4091814	SRR7174172	1
GSE114559	GSM3144838	SRX4091815	SRR7174173	1
GSE114559	GSM3144839	SRX4091816	SRR7174174	1
GSE114559	GSM3144840	SRX4091817	SRR7174175	1
GSE114559	GSM3144841	SRX4091818	SRR7174176	1
GSE114559	GSM3144842	SRX4091819	SRR7174177	1
GSE114559	GSM3144843	SRX4091820	SRR7174178	1
GSE114559	GSM3144844	SRX4091821	SRR7174179	1
GSE114559	GSM3144845	SRX4091822	SRR7174180	1
GSE114559	GSM3144846	SRX4091823	SRR7174181	1
GSE114559	GSM3144847	SRX4091824	SRR7174182	1
GSE114559	GSM3144848	SRX4091825	SRR7174183	1
GSE114559	GSM3144849	SRX4091826	SRR7174184	1
GSE114559	GSM3144850	SRX4091827	SRR7174185	1
GSE114559	GSM3144851	SRX4091828	SRR7174186	1
GSE114559	GSM3144852	SRX4091829	SRR7174187	1
GSE121065	GSM3425394	SRX4824701	SRR7993803	1
GSE121065	GSM3425395	SRX4824702	SRR7993804	1
GSE121065	GSM3425396	SRX4824703	SRR7993805	1
GSE121065	GSM3425397	SRX4824704	SRR7993806	1
GSE121065	GSM3425398	SRX4824705	SRR7993807	1
GSE121065	GSM3425399	SRX4824706	SRR7993808	1
GSE121065	GSM3425400	SRX4824707	SRR7993809	1
GSE121065	GSM3425401	SRX4824708	SRR7993810	1
GSE121066	GSM3425402	SRX4824710	SRR7993812	1
GSE121066	GSM3425403	SRX4824711	SRR7993813	1
GSE121066	GSM3425404	SRX4824712	SRR7993814	1
GSE121066	GSM3425405	SRX4824713	SRR7993815	1
GSE121066	GSM3425406	SRX4824714	SRR7993816	1
GSE121066	GSM3425407	SRX4824715	SRR7993817	1
GSE121066	GSM3425408	SRX4824716	SRR7993818	1
GSE121066	GSM3425409	SRX4824717	SRR7993819	1
GSE121066	GSM3425410	SRX4824718	SRR7993820	1
GSE124252	GSM3526396	SRX5173160	SRR8362654	1
GSE124252	GSM3526397	SRX5173161	SRR8362655	1
GSE124252	GSM3526398	SRX5173162	SRR8362656	1
GSE124252	GSM3526399	SRX5173163	SRR8362657	1
GSE124252	GSM3526400	SRX5173164	SRR8362658	1
GSE124252	GSM3526401	SRX5173165	SRR8362659	1
GSE124252	GSM3526402	SRX5173166	SRR8362660	1
GSE124252	GSM3526403	SRX5173167	SRR8362661	1
GSE124252	GSM3526404	SRX5173168	SRR8362662	1
GSE124252	GSM3526405	SRX5173169	SRR8362663	1
GSE124252	GSM3526406	SRX5173170	SRR8362664	1
GSE124252	GSM3526407	SRX5173171	SRR8362665	1
GSE124252	GSM3526408	SRX5173172	SRR8362666	1
GSE124252	GSM3526409	SRX5173173	SRR8362667	1
GSE124252	GSM3526410	SRX5173174	SRR8362668	1
GSE124513	GSM3535590	SRX5191013	SRR8381039	1
